bbl,block,lot,bin,hnum_lo,hnum_hi,str_name,condo_no,coop_no
1009000155,900,155,1019610,202,202,EAST 20 STREET,N/A,N/A
1008750027,875,27,1017917,127,127,EAST 19 STREET,N/A,N/A
1009010021,901,21,1019614,237,245,EAST 20 STREET,N/A,N/A
1008750048,875,48,1017929,148,148,EAST 20 STREET,N/A,1040
1009030001,903,1,1082130,283,283,3 AVENUE,N/A,N/A
1008740032,874,32,1017880,147,147,EAST 18 STREET,N/A,N/A
1008780047,878,47,1018027,156,156,EAST 23 STREET,N/A,N/A
1009287501,928,7501,1020587,379,379,1 AVENUE,333,N/A
1008970063,897,63,1019542,224,226,EAST 17 STREET,N/A,1118
1009260035,926,35,1020540,347,349,1 AVENUE,N/A,N/A
1008700024,870,24,1084936,126,142,3 AVENUE,N/A,N/A
1008790013,879,13,1087750,123,123,EAST 23 STREET,N/A,N/A
1009000054,900,54,1019605,206,206,EAST 20 STREET,N/A,N/A
1008770089,877,89,1018009,100,100,EAST 22 STREET,N/A,N/A
1009030056,903,56,1019664,204,208,EAST 23 STREET,N/A,N/A
1008770026,877,26,1017993,129,133,EAST 21 STREET,N/A,1050
1009270031,927,31,1020557,373,373,1 AVENUE,N/A,N/A
1008820056,882,56,1018149,142,146,EAST 27 STREET,N/A,N/A
